2023-06-26 00:18:09.158 [main] INFO  VipController - aaa(1111)登录
2023-06-26 00:18:35.027 [main] INFO  BookDaoImpl - java入职宝典(b0003)卖出了1本
2023-06-26 00:31:33.342 [main] INFO  VipController - aaa(1111)登录
2023-06-26 00:34:46.960 [main] INFO  VipController - aaa(1111)登录
2023-06-26 00:49:28.367 [main] INFO  VipController - aaa(1111)登录
2023-06-26 00:50:11.205 [main] INFO  VipController - aaa(1111)离开了
2023-06-26 00:50:18.750 [main] INFO  VipController - bbb(1112)登录
2023-06-26 00:50:38.529 [main] INFO  VipController - bbb(1112)离开了
2023-06-26 00:53:07.799 [main] INFO  VipController - aaa(1111)登录
2023-06-26 00:55:01.832 [main] INFO  VipController - aaa(1111)登录
2023-06-26 00:57:14.959 [main] INFO  VipController - aaa(1111)登录
2023-06-26 00:58:10.092 [main] INFO  VipDapImpl - aaa(1111)的账号信息发生改变,余额:23141.0元,积分0
2023-06-26 08:42:10.864 [main] INFO  VipController - aaa(1111)登录
2023-06-26 08:42:38.279 [main] INFO  BookDaoImpl - java入职宝典(b0003)卖出了1本
2023-06-26 08:42:38.279 [main] INFO  VipDapImpl - aaa(1111)的账号信息发生改变,余额:-1900.0元,积分200
2023-06-26 08:58:13.401 [main] INFO  VipController - aaa(1111)登录
2023-06-26 08:59:21.587 [main] INFO  VipController - aaa(1111)兑换了一支铅笔
2023-06-26 08:59:21.590 [main] INFO  VipDapImpl - aaa(1111)的账号信息发生改变,余额:0.0元,积分-10
2023-06-26 09:11:31.927 [main] INFO  VipController - aaa(1111)登录
2023-06-26 20:07:31.890 [main] INFO  VipController - aaa(1111)登录
2023-06-26 20:08:01.012 [main] INFO  BorrowDaoImpl - aaa(1111)借阅了一本图书:数据结构(b0002)
2023-06-26 20:08:17.862 [main] INFO  BorrowDaoImpl - aaa(1111)借阅了一本图书:数据结构(b0002)
2023-06-26 20:10:06.178 [main] INFO  BorrowDaoImpl - aaa(1111)借阅了一本图书:java入职宝典(b0003)
2023-06-26 20:12:47.656 [main] INFO  VipController - aaa(1111)登录
2023-06-26 20:14:16.051 [main] INFO  BaseCustomerController - ddd(1114)注册成为vip
2023-06-26 20:14:55.683 [main] INFO  VipController - aaa(1111)登录
2023-06-26 20:15:04.993 [main] INFO  BorrowDaoImpl - aaa(1111)借阅了一本图书:java入职宝典(b0003)
2023-06-26 20:15:19.201 [main] INFO  BorrowDaoImpl - aaa(1111)借阅了一本图书:java入职宝典(b0003)
2023-06-26 20:15:26.785 [main] INFO  BorrowDaoImpl - aaa(1111)借阅了一本图书:java从入门到入土(b0001)
2023-06-26 20:15:51.346 [main] INFO  VipController - aaa(1111)登录
2023-06-26 21:54:36.454 [main] INFO  VipController - aaa(1111)登录
2023-06-26 21:55:14.758 [main] INFO  VipController - aaa(1111)归还图书:java入职宝典(b0003)
2023-06-26 21:56:15.584 [main] INFO  VipController - aaa(1111)登录
2023-06-26 21:56:39.149 [main] INFO  VipController - aaa(1111)归还图书:java从入门到入土(b0001)
2023-06-26 22:45:12.490 [main] INFO  VipController - aaa(1111)登录
2023-06-26 22:46:11.001 [main] INFO  VipController - aaa(1111)登录
2023-06-26 22:47:33.863 [main] INFO  VipController - aaa(1111)登录
2023-06-26 22:49:53.988 [main] INFO  VipController - aaa(1111)登录
2023-06-26 22:50:47.764 [main] INFO  VipController - aaa(1111)登录
2023-06-26 22:50:59.906 [main] INFO  VipController - aaa(1111)归还图书:java从入门到入土(b0001)
2023-06-26 22:50:59.906 [main] INFO  VipDapImpl - aaa(1111)的账号信息发生改变,余额:-0.3元,积分0
2023-06-26 22:51:17.395 [main] INFO  VipController - aaa(1111)归还图书:java入职宝典(b0003)
2023-06-26 22:51:49.711 [main] INFO  VipController - aaa(1111)登录
2023-06-26 23:07:58.654 [main] INFO  VipController - aaa(1111)登录
2023-06-26 23:08:12.969 [main] INFO  BorrowDaoImpl - aaa(1111)借阅了一本图书:java从入门到入土(b0001)
2023-06-26 23:09:45.218 [main] INFO  VipController - aaa(1111)归还图书:java从入门到入土(b0001)
2023-06-26 23:10:19.834 [main] INFO  VipController - aaa(1111)支付了丢失的图书:java入职宝典(b0003)损失
2023-06-26 23:10:27.916 [main] INFO  VipController - aaa(1111)离开了
2023-06-26 23:10:44.672 [main] INFO  VipController - aaa(1111)登录
2023-06-26 23:10:59.581 [main] INFO  BorrowDaoImpl - aaa(1111)借阅了一本图书:java从入门到入土(b0001)
2023-06-26 23:11:07.161 [main] INFO  BorrowDaoImpl - aaa(1111)借阅了一本图书:java入职宝典(b0003)
2023-06-26 23:11:11.272 [main] INFO  VipController - aaa(1111)离开了
2023-06-26 23:11:21.945 [main] INFO  VipController - aaa(1111)登录
